TreeSpecies,Ratio,Angle
Madhuca Longifolia,3.32,70
Madhuca Longifolia,3.18,75
Madhuca Longifolia,3.33,80
Madhuca Longifolia,3.4,65
Madhuca Longifolia,3.39,65
Madhuca Longifolia,3.29,80
Madhuca Longifolia,3.35,60
Madhuca Longifolia,3.35,65
Madhuca Longifolia,3.41,80
Madhuca Longifolia,3.59,65
Madhuca Longifolia,3.25,75
Madhuca Longifolia,3.29,80
Madhuca Longifolia,3.16,65
Madhuca Longifolia,3.53,75
Madhuca Longifolia,3.31,75
Madhuca Longifolia,3.32,70
Madhuca Longifolia,3.1,75
Madhuca Longifolia,3.28,80
Madhuca Longifolia,3.43,65
Madhuca Longifolia,3.44,65
Madhuca Longifolia,3.32,80
Madhuca Longifolia,3.32,60
Madhuca Longifolia,3.38,65
Madhuca Longifolia,3.5,80
Madhuca Longifolia,3.62,65
Madhuca Longifolia,3.36,75
Madhuca Longifolia,3.37,80
Madhuca Longifolia,3.21,65
Madhuca Longifolia,3.53,75
Madhuca Longifolia,3.34,75
Magnifira Indica,4.14,40
Magnifira Indica,3.49,30
Magnifira Indica,3.87,40
Magnifira Indica,4.38,30
Magnifira Indica,3.46,30
Magnifira Indica,4.03,25
Magnifira Indica,4.03,26
Magnifira Indica,4.28,37
Magnifira Indica,4.03,28
Magnifira Indica,3.66,29
Magnifira Indica,3.91,27
Magnifira Indica,4.06,24
Magnifira Indica,3.89,34
Magnifira Indica,3.78,24
Magnifira Indica,4.31,24
Magnifira Indica,4.39,40
Magnifira Indica,3.56,30
Magnifira Indica,4.17,40
Magnifira Indica,4.5,30
Magnifira Indica,3.59,30
Magnifira Indica,4.2,25
Magnifira Indica,4.19,26
Magnifira Indica,4.45,37
Magnifira Indica,4.23,28
Magnifira Indica,3.79,29
Magnifira Indica,4,27
Magnifira Indica,4.16,24
Magnifira Indica,3.97,34
Magnifira Indica,3.92,24
Magnifira Indica,4.48,24
Terminalia Arjuna ,3.16,95
Terminalia Arjuna ,3.22,105
Terminalia Arjuna ,2.95,120
Terminalia Arjuna ,2.9,112
Terminalia Arjuna ,3.17,98
Terminalia Arjuna ,2.67,85
Terminalia Arjuna ,3.28,85
Terminalia Arjuna ,3.33,96
Terminalia Arjuna ,3.35,97
Terminalia Arjuna ,3.05,95
Terminalia Arjuna ,3.74,75
Terminalia Arjuna ,3.43,74
Terminalia Arjuna ,3.14,84
Terminalia Arjuna ,3.08,85
Terminalia Arjuna ,2.77,70
Terminalia Arjuna ,3.03,95
Terminalia Arjuna ,3.15,105
Terminalia Arjuna ,2.98,120
Terminalia Arjuna ,2.95,112
Terminalia Arjuna ,3.17,98
Terminalia Arjuna ,2.64,85
Terminalia Arjuna ,3.17,85
Terminalia Arjuna ,3.29,96
Terminalia Arjuna ,3.11,97
Terminalia Arjuna ,2.93,95
Terminalia Arjuna ,3.59,75
Terminalia Arjuna ,3.3,74
Terminalia Arjuna ,3.09,84
Terminalia Arjuna ,3.09,85
Terminalia Arjuna ,2.73,70
